Account_ID,Account_Name,Category,Month,Debit,Credit
10000,Cash,Asset,2024-01,7370,0
10001,Accounts Receivable,Asset,2024-01,960,0
10002,Inventory,Asset,2024-01,5490,0
10003,Prepaid Expenses,Asset,2024-01,5291,0
10004,Fixed Assets,Asset,2024-01,5834,0
20000,Accounts Payable,Liability,2024-01,0,6365
20001,Accrued Expenses,Liability,2024-01,0,566
20002,Short-Term Debt,Liability,2024-01,0,4526
20003,Long-Term Debt,Liability,2024-01,0,5678
30000,Common Stock,Equity,2024-01,0,8422
30001,Retained Earnings,Equity,2024-01,0,54414
40000,Sales Revenue,Revenue,2024-01,0,869
40001,Service Revenue,Revenue,2024-01,0,7049
40002,Interest Income,Revenue,2024-01,0,2533
40003,Other Income,Revenue,2024-01,0,5411
50000,Salary Expense,Expense,2024-01,5151,0
50001,Rent Expense,Expense,2024-01,6520,0
50002,Utilities Expense,Expense,2024-01,1284,0
50003,Supplies Expense,Expense,2024-01,4655,0
50004,Depreciation Expense,Expense,2024-01,3485,0
50005,Marketing Expense,Expense,2024-01,6496,0
50006,Travel Expense,Expense,2024-01,8766,0
50007,Insurance Expense,Expense,2024-01,9374,0
50008,IT Expense,Expense,2024-01,2658,0
50009,Bank Charges,Expense,2024-01,7949,0
50010,Telephone Expense,Expense,2024-01,2147,0
50011,Repairs & Maintenance,Expense,2024-01,2847,0
50012,Payroll Tax Expense,Expense,2024-01,9267,0
50013,Training Expense,Expense,2024-01,289,0
10000,Cash,Asset,2024-02,2834,0
10001,Accounts Receivable,Asset,2024-02,3105,0
10002,Inventory,Asset,2024-02,4758,0
10003,Prepaid Expenses,Asset,2024-02,1999,0
10004,Fixed Assets,Asset,2024-02,7834,0
20000,Accounts Payable,Liability,2024-02,0,1367
20001,Accrued Expenses,Liability,2024-02,0,1628
20002,Short-Term Debt,Liability,2024-02,0,3656
20003,Long-Term Debt,Liability,2024-02,0,3990
30000,Common Stock,Equity,2024-02,0,8938
30001,Retained Earnings,Equity,2024-02,0,49017
40000,Sales Revenue,Revenue,2024-02,0,8892
40001,Service Revenue,Revenue,2024-02,0,8533
40002,Interest Income,Revenue,2024-02,0,7613
40003,Other Income,Revenue,2024-02,0,2712
50000,Salary Expense,Expense,2024-02,7141,0
50001,Rent Expense,Expense,2024-02,9655,0
50002,Utilities Expense,Expense,2024-02,6335,0
50003,Supplies Expense,Expense,2024-02,5586,0
50004,Depreciation Expense,Expense,2024-02,7199,0
50005,Marketing Expense,Expense,2024-02,9770,0
50006,Travel Expense,Expense,2024-02,875,0
50007,Insurance Expense,Expense,2024-02,8326,0
50008,IT Expense,Expense,2024-02,3252,0
50009,Bank Charges,Expense,2024-02,1685,0
50010,Telephone Expense,Expense,2024-02,4043,0
50011,Repairs & Maintenance,Expense,2024-02,7655,0
50012,Payroll Tax Expense,Expense,2024-02,3173,0
50013,Training Expense,Expense,2024-02,1121,0
10000,Cash,Asset,2024-03,3943,0
10001,Accounts Receivable,Asset,2024-03,8089,0
10002,Inventory,Asset,2024-03,9792,0
10003,Prepaid Expenses,Asset,2024-03,6973,0
10004,Fixed Assets,Asset,2024-03,5775,0
20000,Accounts Payable,Liability,2024-03,0,261
20001,Accrued Expenses,Liability,2024-03,0,4397
20002,Short-Term Debt,Liability,2024-03,0,1095
20003,Long-Term Debt,Liability,2024-03,0,7729
30000,Common Stock,Equity,2024-03,0,9567
30001,Retained Earnings,Equity,2024-03,0,65999
40000,Sales Revenue,Revenue,2024-03,0,7969
40001,Service Revenue,Revenue,2024-03,0,6539
40002,Interest Income,Revenue,2024-03,0,7992
40003,Other Income,Revenue,2024-03,0,6963
50000,Salary Expense,Expense,2024-03,8016,0
50001,Rent Expense,Expense,2024-03,8629,0
50002,Utilities Expense,Expense,2024-03,978,0
50003,Supplies Expense,Expense,2024-03,9368,0
50004,Depreciation Expense,Expense,2024-03,4987,0
50005,Marketing Expense,Expense,2024-03,4959,0
50006,Travel Expense,Expense,2024-03,6431,0
50007,Insurance Expense,Expense,2024-03,8671,0
50008,IT Expense,Expense,2024-03,8784,0
50009,Bank Charges,Expense,2024-03,7308,0
50010,Telephone Expense,Expense,2024-03,5376,0
50011,Repairs & Maintenance,Expense,2024-03,2162,0
50012,Payroll Tax Expense,Expense,2024-03,164,0
50013,Training Expense,Expense,2024-03,8106,0
10000,Cash,Asset,2024-04,2668,0
10001,Accounts Receivable,Asset,2024-04,5563,0
10002,Inventory,Asset,2024-04,2127,0
10003,Prepaid Expenses,Asset,2024-04,2795,0
10004,Fixed Assets,Asset,2024-04,9787,0
20000,Accounts Payable,Liability,2024-04,0,5358
20001,Accrued Expenses,Liability,2024-04,0,5718
20002,Short-Term Debt,Liability,2024-04,0,6836
20003,Long-Term Debt,Liability,2024-04,0,491
30000,Common Stock,Equity,2024-04,0,5992
30001,Retained Earnings,Equity,2024-04,0,50839
40000,Sales Revenue,Revenue,2024-04,0,6284
40001,Service Revenue,Revenue,2024-04,0,3199
40002,Interest Income,Revenue,2024-04,0,6378
40003,Other Income,Revenue,2024-04,0,8492
50000,Salary Expense,Expense,2024-04,3204,0
50001,Rent Expense,Expense,2024-04,7315,0
50002,Utilities Expense,Expense,2024-04,2554,0
50003,Supplies Expense,Expense,2024-04,9096,0
50004,Depreciation Expense,Expense,2024-04,2831,0
50005,Marketing Expense,Expense,2024-04,8254,0
50006,Travel Expense,Expense,2024-04,9862,0
50007,Insurance Expense,Expense,2024-04,5156,0
50008,IT Expense,Expense,2024-04,8210,0
50009,Bank Charges,Expense,2024-04,3940,0
50010,Telephone Expense,Expense,2024-04,1128,0
50011,Repairs & Maintenance,Expense,2024-04,7485,0
50012,Payroll Tax Expense,Expense,2024-04,602,0
50013,Training Expense,Expense,2024-04,7010,0
10000,Cash,Asset,2024-05,9162,0
10001,Accounts Receivable,Asset,2024-05,7038,0
10002,Inventory,Asset,2024-05,4588,0
10003,Prepaid Expenses,Asset,2024-05,306,0
10004,Fixed Assets,Asset,2024-05,5234,0
20000,Accounts Payable,Liability,2024-05,0,6077
20001,Accrued Expenses,Liability,2024-05,0,7821
20002,Short-Term Debt,Liability,2024-05,0,7135
20003,Long-Term Debt,Liability,2024-05,0,1584
30000,Common Stock,Equity,2024-05,0,7958
30001,Retained Earnings,Equity,2024-05,0,40137
40000,Sales Revenue,Revenue,2024-05,0,2890
40001,Service Revenue,Revenue,2024-05,0,7508
40002,Interest Income,Revenue,2024-05,0,8855
40003,Other Income,Revenue,2024-05,0,5216
50000,Salary Expense,Expense,2024-05,6119,0
50001,Rent Expense,Expense,2024-05,1857,0
50002,Utilities Expense,Expense,2024-05,7674,0
50003,Supplies Expense,Expense,2024-05,6474,0
